NC_001422.1,Phage_F
NC_014609.1,dsrm RdRP_4
NC_014631.1,Gemini_AL1 Gemini_AL1_M Gemini_coat
NC_014645.1,Gemini_AL3 Gemini_AL1_M Gemini_coat Gemini_AL1
NC_014649.1,Serpin A2L_zn_ribbon H2TH GATase_6 DSPc RNA_pol_Rpb1_2 RNA_pol_N DUF1295 His_Phos_1 MUG113 Pox_VLTF3 Rhomboid COesterase SET NTP_transferase GATase Glycos_transf_2 Acetyltransf_1 GMC_oxred_N NMT_C tRNA_U5-meth_tr DnaJ_C NUMOD4 RNA_pol_Rpb2_7 Glyco_transf_8 Cyclin_N FtsJ RNA_pol_Rpb2_1 RNase_H RNA_pol_Rpb2_6 HATPase_c Thymidylat_synt AAA_33 Peptidase_M16 MutS_V Gly_transf_sug KilA-N Peptidase_M13_N ADH_N RNA_pol_Rpb1_1 Ank Ank_4 Patatin PP2C GATase_4 Collagen VWA Resolvase dsrm zf-rbx1 SIS RNA_pol_Rpb2_5 ADH_zinc_N U-box PBP DUF3627 DUF305 Topoisom_bac Asp_Arg_Hydrox XPG_I Peptidase_M16_C UDG TBP DNA_pol_B Pox_A32 DUF4326 NDK Toprim DNA_ligase_OB Lon_C Fapy_DNA_glyco Herpes_ori_bp YqaJ NUDIX DNA_pol_B_exo1 Guanylate_cyc Methyltransf_24 Ribonuc_red_lgC Pox_MCEL DegT_DnrJ_EryC1 Ribonucleas_3_3 AAA_5 Metallophos HNH_3 NTP_transf_2 AAA_30 GIY-YIG Evr1_Alr HSP70 TK WD40 Thg1 DNA_binding_1 KR Glyco_transf_10 RNA_pol_Rpb6 tRNA-synt_1e Ricin_B_lectin Topoisom_I RNA_pol_Rpb2_4 PNP_UDP_1 GTP_EFTU HHH_5 Sel1 UQ_con tRNA-synt_1g DNA_pol3_delta2 Thioredoxin MerR 2OG-FeII_Oxy_3 Helicase_C HTH_31 F-box-like Gln-synt_N RNA_pol_Rpb2_3 DUF1768 DALR_1 GMC_oxred_C RNA_pol_Rpb1_3 D5_N F-box TFIIS_C AAA_23 Glutaredoxin NUMOD1 PAN_1 Glyco_transf_25 RmlD_sub_bind Cyt-b5 ADPrib_exo_Tox Hydrolase_4 DNA_topoisoIV UvrD_C_2 Ribonuc_red_sm DPRP UCH Band_7 TPR_12 Ribonuclease_3 MutS_I DnaJ HHH_8 AP_endonuc_2 NT5C ResIII NAD_binding_8 NMT SNF2_N UvrD_C DnaJ_CXXCXGXG ubiquitin AAA_22 Pkinase_Tyr BTB_2 Pox_P4B PriCT_2 Cupin_2 AAA_19 RNA_pol_Rpb1_5 Ank_2 SUI1 ADP_ribosyl_GH Peptidase_C1 MutS_III 2OG-FeII_Oxy_2 BTB DEAD PNK3P R3H DUF2828 mRNA_cap_enzyme zf-C3HC4_3 BRCT FNIP tRNA-synt_1d Ribonuc_red_lgN Dynamin_N RecQ_Zn_bind Capsid_N DNA_gyraseB Peptidase_C48 PRA-PH RNA_pol_Rpb5_C tRNA-synt_1b PBP_like_2 Exo_endo_phos Peptidase_M13 Cupin_8 Bro-N Pkinase Ank_3 PS_pyruv_trans GDP_Man_Dehyd RNA_pol_Rpb1_4 Amino_oxidase PAN_4 SWIB Pox_G9-A16 Pro_isomerase DNA_ligase_aden Gln-synt_C Metallophos_2 adh_short Asn_synthase Capsid_NCLDV DNA_pol_A_exo1 DUF1796 DNA_pol_B_thumb OrfB_IS605 RQC PCNA_N Methyltransf_15 LRR_6 DHFR_1 Acetyltransf_2 Ras Herpes_UL52 IF4E GATase_7 AAA PLDc_2 adh_short_C2 Peptidase_M43 ABC_tran Ank_5 HD Abhydrolase_3 Toprim_C_rpt PCNA_C DUF2935 TOPRIM_C TFIIB XRN_N XPG_N TF_Zn_Ribbon p450 Lipocalin_2 UvdE PIG-L OrfB_Zn_ribbon Mito_carr Abhydrolase_2
NC_014663.1,DNA_gyraseB RNA_ligase Phage_T4_gp19 Terminase_6 Fibritin_C MotCF NTP_transferase Gp67 GSP_synth S_tail_recep_bd Phage_30_3 AAA_33 Translat_reg NUMOD3 ALP Gp23 SIS Phage_clamp_A T4_gp9_10 RNA_lig_T4_1 Phage_sheath_1C Phage_T4_gp36 Thymidylat_synt Phage_gp53 gp32 NAPRTase DUF2654 Endonuc-dimeris Gp5_OB SLT Macro T4-gp15_tss Ribonuc_red_sm ResIII dCMP_cyt_deam_1 DNA_pol_B_exo1 Amidase_3 T4_baseplate UvrD_C_2 ADPrib_exo_Tox Ribonuc_red_lgN Phage-tail_2 Trans_coact T4_tail_cap AAA_30 T4_neck-protein Helicase_C 5_3_exonuc_N ATP-cone Nuc-transf DHFR_1 DNA_Packaging DNA_topoisoIV Phage_sheath_1 Phage-Gp8 GP11 HATPase_c DUF1190 T4_Gp59_N Phage-tail_1 Metallophos Phage_lysozyme AAA Endonuclease_7 Phage_holin_T Glutaredoxin Phage_DsbA Phage_RpbA DNA_ligase_A_M Multi_Drug_Res Phage_T4_Ndd DNA_pol_B Phage_head_chap GIY-YIG Phage_sheath_1N DUF4326 Collar WYL_2 DUF5051 AAA_23 Peptidase_S80 Gp45_2 AsiA Cpn10 T4_Gp59_C Terminase_6C Ribonuc_red_lgC DUF2685 gp45-slide_C DNA_PPF RNaseH_C Phage_hub_GP28 GPW_gp25 Peptidase_S77 DnaB_C NUDIX
NC_014730.1,RdRP_2 Flexi_CP 7kD_coat Vmethyltransf Carla_C4 Flexi_CP_N Peptidase_C23 Viral_helicase1
NC_014742.1,Flavi_DEAD Helicase_C DEAD Peptidase_S30 RdRP_1 Potyvirid-P3 Poty_PP Peptidase_C6 Poty_coat Peptidase_C4
NC_014746.1,Pathogen_betaC1
NC_014766.1,UCH Thy1 HpcH_HpaI CLP_protease DHQ_synthase Rhodanese dsrm ResIII DNA_topoisoIV PHO4 zf-CCHC Ribonuc_red_lgC SWIB NMT_C Ribonuc_red_sm LRR_8 GIY-YIG RmlD_sub_bind Helicase_C Cyt-b5 HHH_8 DNA_ligase_OB_2 DNA_pol_B_exo1 PhoH Methyltransf_25 TOPRIM_C PFK MazG mRNA_cap_C Epimerase Asn_synthase Pox_A22 RNase_H Asp_Arg_Hydrox PCNA_N ABC1 Glutaredoxin Methyltransf_21 NAD_binding_8 RNase_T TPP_enzyme_M AAA ATP-cone Ribonucleas_3_3 N6_N4_Mtase PQ-loop AHH TFIIB Glyco_transf_25 Peptidase_M41 2OG-FeII_Oxy_3 TBP NIF NUDIX Pro_dh Capsid_N GATase_7 LRR_1 GDP_Man_Dehyd DNA_pol_B Ribonuc_red_lgN Glycos_transf_2 dCMP_cyt_deam_1 Glycos_transf_1 Bactofilin D5_N NMT PCNA_C Pkinase Capsid_NCLDV SNF2_N zf-FCS Toprim PDDEXK_3 DegT_DnrJ_EryC1 GATase_6 CTP_transf_like TFIIS_C mRNA_cap_enzyme Lipase_3 Sigma70_r2 zf-C3HC4 F5_F8_type_C T5orf172 TPP_enzyme_N TPP_enzyme_C dTDP_sugar_isom DNA_ligase_A_M DNA_gyraseB dUTPase DUF814 Pox_VLTF3 adh_short_C2 MethyltransfD12 YqaJ Patatin TK
NC_014791.1,DEAD RdRP_1 Helicase_C Peptidase_S76 Poty_coat Poty_PP Peptidase_C4 Ham1p_like
NC_014821.1,Peptidase_C23 Viral_helicase1 Vmethyltransf RdRP_2 Flexi_CP Plant_vir_prot
NC_014073.1,TT_ORF1
NC_014077.1,TT_ORF1 TT_ORF2
NC_014081.1,TT_ORF1
NC_014085.1,TT_ORF1
NC_014089.1,TT_ORF2 TT_ORF1
NC_014094.1,TT_ORF1 TT_ORF2
NC_014099.1,DUF1874 RHH_1
NC_014127.1,RdRP_2 Viral_helicase1 Tymo_coat Peptidase_C21 Vmethyltransf
NC_014139.1,Gemini_coat Gemini_BL1
NC_014138.1,Gemini_AL1 Gemini_coat Gemini_AL1_M Gemini_AL3
NC_014185.1,Late_protein_L1 PPV_E2_C E7 PPV_E1_N Late_protein_L2 E6 PPV_E2_N PPV_E1_C
NC_014260.1,Ribonuc_red_lgN T4_gp9_10 Endonuclease_7 Phage-tail_1 DNA_gyraseB ADPrib_exo_Tox Glutaredoxin Imm_superinfect Phage_T4_gp36 DNA_topoisoIV Phage_holin_T DUF5499 Ribonuc_red_lgC Gp67 DHFR_1 T4-gp15_tss GP38 DNA_Packaging FRD2 UvsW DUF5051 TK RNA_lig_T4_1 DNA_pol_B_exo1 Phage_clamp_A Phage_T4_Gp30_7 Ribonuc_red_sm DNA_PPF Phage_T4_gp19 DNA_pol_B gp37_C ALP HATPase_c gp45-slide_C Helicase_C NUDIX DUF5490 RNA_ligase Phage_DsbA Gp23 PAAR_motif DUF5498 DUF5486 Terminase_6 ResIII Macro APH Dmd Phage_sheath_1N DUF5491 Phage_gp53 Pyr_excise Phage_head_chap Metallophos Thymidylat_synt Phage_30_3 AAA_30 Phage_RpbA S_tail_recep_bd T4_Gp59_C Peptidase_S74 DUF3045 Nuc-transf ILEI Phage_hub_GP28 Gp5_C NTP_transferase DUF5484 NUMOD3 Peptidase_S77 Translat_reg dCMP_cyt_deam_1 DUF2685 AAA GPW_gp25 T4_neck-protein MotCF gp32 T4_tail_cap Cpn10 gp12-short_mid T4_baseplate Phage_T4_Ndd DUF5487 Soc Gp45_2 Zn-ribbon_8 AsiA Trans_coact Phage_FRD3 UvsY DUF2774 GP11 Endonuc-dimeris AAA_23 Phage_lysozyme Collar DUF5495 5_3_exonuc_N DUF2654 T4_Gp59_N WYL_2 Fibritin_C Gp5_OB ATP-cone Phage-tail_2 Peptidase_S80 RecA GP57 motB REGB_T4 DnaB_C DUF5417 Terminase_6C Phage_30_8 Phage_sheath_1C RNaseH_C Phage_sheath_1 DNA_ligase_A_M Phage-Gp8 AAA_33 MotA_activ
NC_014325.1,Peptidase_C6 RdRP_1 Potyvirid-P3 DEAD Peptidase_C4 Helicase_C Flavi_DEAD Poty_PP Peptidase_S30 Poty_coat Peptidase_S76
NC_014358.1,Parvo_NS1 Parvo_coat_N Parvo_coat NP1-WLL
NC_014373.1,Mononeg_RNA_pol Mononeg_mRNAcap
NC_014407.1,Papo_T_antigen Polyoma_coat T_Ag_DNA_bind Polyoma_lg_T_C
NC_014413.1,Calici_coat RNA_helicase Rhv Peptidase_C3 RdRP_1
NC_014459.2,Phage_prot_Gp6 RtcB Phage_integrase Phage_int_SAM_3 DUF732 RusA DUF3310 HTH_17 D5_N Glutaredoxin Phage_capsid Peptidase_C39_2 HNH RNase_T Whib Terminase_6
NC_014467.1,DNA_gyraseB SPASM AAA_33 Translat_reg DNA_ligase_A_M T4_neck-protein DnaB_C AAA SLT gp45-slide_C Phage_sheath_1N RNaseH_C HNH_3 Phage_lysozyme MTS Fibritin_C DUF2685 NUMOD3 RNA_ligase GIY-YIG DUF5051 GPW_gp25 Peptidase_M15_4 Nuc-transf Phage_T4_gp36 T4-gp15_tss AAA_23 NRDD Phage_T4_gp19 CTP_transf_like Phage_head_chap Phage_sheath_1 DUF262 Phage_clamp_A Phage_gp53 UvsY Gp5_C Gp5_OB Thymidylat_synt Peptidase_S74 Fer4_12 PhoH Glutaredoxin Phage_30_3 DUF2654 RecA T4_gp9_10 Phage_T4_Ndd Phage_DsbA GP11 Phage_RpbA VWA_3 T4_Gp59_C NAPRTase GP38 Band_7 DNA_pol_B Toprim_N T4_tail_cap DNA_methylase PIN_4 Ribonuc_red_lgN Phage_holin_T DNA_topoisoIV Peptidase_S80 Peptidase_S77 SprT-like TK RNA_lig_T4_1 AP2 Gp23 T4_baseplate DNA_pol_B_exo1 Zn-ribbon_8 AAA_30 HATPase_c 5_3_exonuc_N ATP-cone DNA_Packaging Trans_coact UvsW DHFR_1 ILEI MethyltransfD12 Ribonuc_red_sm Phage_sheath_1C Gly_radical Helicase_C Ig_3 Terminase_6 T4_Gp59_N Phage-Gp8 Terminase_6C dCMP_cyt_deam_1 Cpn10 DNA_PPF Gp67 NUDIX Collar gp32 Ribonuc_red_lgC ResIII Phage-tail_1
NC_014473.1,Gemini_AL1_M Gemini_AL1 Gemini_coat Gemini_AL3
NC_014509.2,Viral_coat RdRP_4
NC_014536.1,DEAD Flavi_DEAD Poty_PP RdRP_1 Potyvirid-P3 Helicase_C Peptidase_S30 Peptidase_C4 Peptidase_C6 Poty_coat
NC_014547.1,Gemini_AL1 Gemini_coat Gemini_AL1_M
NC_014594.1,Pathogen_betaC1
NC_014630.1,Viral_Rep
NC_014637.1,XRN_N DNA_topoisoIV RRM_1 RNB RraA-like DUF1796 Glycos_transf_2 TOPRIM_C Asn_synthase OrfB_Zn_ribbon RNA_pol_Rpb2_2 Metallophos MUG113 HATPase_c YqaJ Ribonuc_red_lgN DNA_gyraseB RNA_pol_Rpb2_6 UCH DndB XPG_N DNA_pol3_delta2 DNA_pol_B_exo1 Branch TBP RNase_HII Lon_C ubiquitin RNA_pol_Rpb6 Glyco_trans_1_2 Exo_endo_phos ResIII TylF Topoisom_bac NUDIX Anticodon_1 DPRP DHFR_1 UDPG_MGDP_dh_N Pox_VLTF3 DUF2828 GATase_6 PriCT_2 DUF924 Glyco_transf_25 Patatin N6_Mtase DNA_ligase_OB RNA_pol_Rpb2_7 AAA_5 Glycos_transf_1 Ank_2 Peptidase_M13_N Hom_end_hint Collar MethyltransfD12 Glyco_tranf_2_4 2C_adapt zf-RING_UBOX H2TH Intein_splicing zf-C3HC4_2 RNA_pol_Rpb1_4 DNA_pol_A_exo1 MerR_1 RNA_pol_Rpb2_4 FtsJ RNA_pol_Rpb5_C RNA_pol_Rpb1_1 Mrr_cat DAHP_synth_1 RNA_pol_Rpb2_3 ThiF Methylase_S RNA_pol_Rpb1_5 zf-C3HC4_3 Pkinase PP2C UvrD_C_2 Hint_2 Peptidase_M13 Orn_DAP_Arg_deC ATP-cone DNA_ligase_aden SNF2_N AAA_19 T5orf172 GIY-YIG Fibrinogen_BP UvrD_C HD GATase_7 NPHI_C DEAD UDPG_MGDP_dh Pox_P4B TFIIS_C 2OG-FeII_Oxy_3 MutS_V FNIP Thymidylat_synt RecQ_Zn_bind ATP_bind_3 Rhamno_transf CDO_I Ank DnaJ Toprim_C_rpt Radical_SAM OrfB_IS605 RNA_pol_Rpb1_2 RNase_T MerR Thioredoxin RNA_pol_L Topoisom_I SET DSHCT IF4E UQ_con SUI1 Ribonuc_red_lgC Acetyltransf_1 Pox_MCEL Peptidase_S41 Peptidase_M16 Capsid_N DNA_photolyase Ribonuc_red_sm Resolvase Methyltransf_23 Peptidase_C48 RNA_pol_Rpb2_1 HSP70 Mito_carr RNase_H_2 DNA_pol_B_thumb dsrm FAD_binding_7 Toprim Methyltransf_11 DnaJ_CXXCXGXG dUTPase MutS_III Fapy_DNA_glyco Hom_end HHH_5 UvrD-helicase AAA Hydrolase_3 DUF563 TruB_N DNA_pol_B DnaJ_C FA_hydroxylase ADP_ribosyl_GH SBP_bac_3 5_3_exonuc_N Helicase_C TK DUF2177 LRR_5 Pox_A32 dCMP_cyt_deam_1 RNase_H TPR_8 Exonuc_VII_L TFIIB DUF2341 2OG-FeII_Oxy_2 GDP_Man_Dehyd Capsid_NCLDV tRNA-synt_1 GTP_EFTU PCNA_C zf-C3HC4 Peptidase_M16_M SIS PTS_2-RNA zf-RING_2 NAD_binding_8 MutS_I PCNA_N tRNA_anti_2 XPG_I Evr1_Alr Orn_Arg_deC_N DpnI D5_N BRCT Lactamase_B_2 NTP_transferase Ribonucleas_3_3 Eco57I CTP_transf_3 Peptidase_M16_C His_Phos_1 RNA_pol_Rpb1_3 MscL RNA_pol_N Band_7
NC_014648.1,zf-CCHC RVP DUF1319 RVT_1
NC_014662.1,Toprim_N dCMP_cyt_deam_1 Endonuclease_7 RNA_lig_T4_1 DNA_topoisoIV DUF4031 Phage-Gp8 UvrD_C_2 Fibritin_C Phage_sheath_1C Phage_T4_Ndd T4-gp15_tss Phage_head_chap Glyco_trans_1_2 Gp5_OB ALP Cpn10 T4_tail_cap T4_gp9_10 Terminase_6 Endonuc-dimeris Translat_reg T4_Gp59_C DUF5498 GP11 Soc Macro Peptidase_S77 RecA GPW_gp25 Phage_clamp_A AAA DUF2774 Gp23 Phage_T4_gp19 5_3_exonuc_N Gp45_2 Thymidylat_synt Phage_lysozyme Phage_sheath_1N Ribonuc_red_sm Trans_coact RNA_ligase AAA_33 GP57 Lipase_GDSL_2 NUDIX AAA_30 Zn-ribbon_8 AsiA DUF5495 Peptidase_S74 Phage-tail_2 DUF2654 gp32 gp12-short_mid zf-dskA_traR Nuc-transf UvsW SLT Collar Fer4_12 Phage_gp53 Pyr_excise GP38 WYL_2 TK Helicase_C Metallophos Phage_T4_gp36 UvsY T4_Gp59_N DUF5051 DnaB_C DHFR_1 DNA_gyraseB Inhibitor_I24 RNaseH_C ATP-cone DNA_Packaging DNA_pol_B DNA_ligase_A_M NRDD Phage_hub_GP28 T4_baseplate Ribonuc_red_lgC Ribonuc_red_lgN DUF2685 Phage_sheath_1 Gp67 ResIII DNA_PPF MotA_activ REGB_T4 Phage_T4_Gp30_7 Phage_DsbA Gp5_C GIY-YIG gp45-slide_C Phage_holin_T Phage-tail_1 Phage_30_8 Phage_RpbA MotCF ADPrib_exo_Tox S_tail_recep_bd AAA_23 DUF4326 Peptidase_S80 DNA_pol_B_exo1 Gly_radical HATPase_c Terminase_6C T4_neck-protein Glutaredoxin DUF5491
NC_014741.1,Pathogen_betaC1
NC_014745.1,Gemini_AL3 Gemini_AL1_M WCCH Gemini_AL1 Gemini_V2 Gemini_coat
NC_014765.1,Ribonuc_red_sm ABC1 PCNA_N Helicase_C TK Hydrolase_3 Asp_Arg_Hydrox Capsid_N Glutaredoxin PDDEXK_1 6PGD PA14 Glycos_transf_2 dsrm FG-GAP_2 DNA_ligase_A_M Ribonuc_red_lgC Glyco_transf_25 Glycos_transf_1 YqaJ PDDEXK_3 NT5C PCNA_C SNase DNA_pol_B GDP_Man_Dehyd NMT_C DegT_DnrJ_EryC1 NUDIX Ribonuc_red_lgN TBP Hexapep ResIII NMT NAD_binding_8 SWIB Toprim RCC1 PAN_1 DNA_gyraseB AAA Pox_MCEL DNA_pol_B_exo1 HTH_3 CLP_protease TFIIB HSP70 DpnI TFIIS_C Pkinase Laminin_G_3 Capsid_NCLDV DNA_ligase_OB_2 D5_N F5_F8_type_C Peptidase_M41 PHO4 mRNA_cap_C RNase_T PhoH Methyltransf_25 Pox_A22 SNF2_N dUTPase zf-RING_2 DUF3339 2OG-FeII_Oxy_3 NAD_binding_2 Patatin TOPRIM_C mRNA_cap_enzyme Ribonucleas_3_3 DNA_topoisoIV RNase_H Thy1 Pox_VLTF3 AHH ATP-cone UCH
NC_014790.2,Peptidase_S30 Poty_PP Flavi_DEAD Helicase_C Peptidase_C4 Potyvirid-P3 Peptidase_C6 RdRP_1 DEAD Poty_coat
NC_014795.1,Gemini_coat Gemini_BL1
NC_014794.1,Gemini_AL3 Gemini_AL1_M Gemini_AC4_5 Gemini_AL1
NC_014845.1,Gemini_AL3 Gemini_AL1_M Gemini_coat Gemini_AL1
NC_014895.1,Pathogen_betaC1
NC_014899.1,Adeno_IVa2 Peptidase_C5 Adeno_PX Viral_DNA_Zn_bi Adeno_E1B_55K Hex_IIIa Adeno_100 Adeno_VII Adeno_PV Adeno_hexon_C Adeno_hexon MCPVI Adeno_PIX Adeno_Penton_B Viral_DNA_bi Adeno_terminal Adeno_shaft Adeno_52K Adeno_PVIII DNA_pol_B_2
NC_014904.1,Vmethyltransf RdRP_2 DEAD
NC_014927.1,Viral_Rep RNA_helicase
NC_014952.1,PPV_E1_C PPV_E2_N Late_protein_L2 Late_protein_L1 PPV_E2_C PPV_E1_N E6
NC_014956.1,PPV_E2_N Late_protein_L1 PPV_E2_C PPV_E1_C E7 PPV_E1_N E6 Late_protein_L2
NC_014978.1,RdRP_1
NC_014977.1,Viral_coat
NC_014067.1,Gemini_BL1 Gemini_coat
NC_014066.1,Gemini_AL3 Gemini_AL1_M Gemini_AL1 Gemini_coat
NC_014071.1,TT_ORF1
NC_014075.1,TT_ORF1 TT_ORF2
NC_014079.1,TT_ORF1
NC_014083.1,TT_ORF1 TT_ORF2
NC_014087.1,TT_ORF1 TT_ORF2
NC_014091.1,TT_ORF2 TT_ORF1
NC_014096.1,TT_ORF2 TT_ORF1
NC_014064.1,Peptidase_C6 Flavi_DEAD Peptidase_S76 Helicase_C Poty_coat Poty_PP Potyvirid-P3 Peptidase_C4 RdRP_1 Peptidase_S30
NC_014142.1,Gemini_BL1 Gemini_coat
NC_014141.1,Gemini_coat Gemini_AL1 Gemini_AL3 Gemini_AL1_M Gemini_V2
NC_014244.1,PolyG_pol
NC_014242.1,Sigma_1_2
NC_014240.1,Reovirus_M2
NC_014239.1,Reovirus_Mu2
NC_014238.1,RdRP_5
NC_014237.1,Reovirus_L2
NC_014322.1,ParBc RHH_1 Cas_Cas4
NC_014327.1,Flavi_DEAD RdRP_1 Poty_coat Peptidase_C6 RdRP_3 Helicase_C Potyvirid-P3 Peptidase_C4 DEAD Peptidase_S30 Poty_PP
NC_014360.1,RdRP_4
NC_014379.1,Viral_Rep
NC_014411.1,RdRP_1 Peptidase_C3 Rhv RNA_helicase
NC_014457.1,DNA_pol_A IstB_IS21 SLT Fer4_12 Sigma70_r2 NRDD Toprim_2 Terminase_6 DnaB_C N6_N4_Mtase GerE DNA_pol3_delta2 RuvB_N Helicase_C CW_binding_2 Phage_prot_Gp6 PhageMin_Tail DNA_pol_A_exo1 Thy1 SNF2_N Phg_2220_C Phage_GP20 DNA_pol3_delta RecU Phage_holin_4_1 Glutaredoxin DUF1599 DNA_pol3_gamma3 RecA dUTPase Glyco_hydro_25 Prophage_tail Sigma70_r4 Phage_cap_E
NC_014461.1,HTH_17 HNH_3 RusA AAA_5 Lsr2 RNase_H_2 AAA_33 Whib DnaB_C Phage_prot_Gp6 Phage_integrase Cutinase Phage_int_SAM_3 Glutaredoxin DUF3846 DnaB P22_CoatProtein HTH_3 NAPRTase DUF2828 DUF4417 Big_2 Amidase_2 RNA_ligase ERF Endonuclease_7 Band_7 Nuc-transf SSB
NC_014469.1,PPV_E1_N E6 E7 PPV_E2_N PPV_E1_C PPV_E2_C Late_protein_L2 Late_protein_L1
NC_014480.2,TT_ORF1
NC_014511.1,RdRP_4
NC_014545.1,RdRP_4 PLRV_ORF5 Peptidase_S39 Luteo_coat
NC_014567.1,Herpes_U34 zf-C3HC4_3 Herpes_UL37_1 DNA_pack_C Herpes_UL14 Glycoprotein_B Herpes_glycop_D Herpes_Helicase DNA_pol_B Herpes_UL3 Herpes_MCP Herpes_ICP4_C Herpes_glycop Viral_DNA_bp Herpes_UL31 XPG_I Herpes_UL16 Glycoprot_B_PH1 Glycoprot_B_PH2 Herpes_UL6 Herpes_UL36 Herpes_ori_bp Herpes_VP19C Herpes_env Ribonuc_red_lgN Herpes_gE Herpes_UL55 DNA_pack_N Marek_A Herpes_US9 Herpes_IE68 Pkinase DNA_pol_B_exo1 Herpes_UL47 UL45 Herpes_UL69 Herpes_UL51 US2 Herpes_UL20 Herpes_glycoH_C Herpes_ICP4_N Herpes_UL21 Herpes_UL33 Herpes_UL1 Alpha_TIF Herpes_UL35 Herpes_UL46 dUTPase Fusion_gly_K Herpes_UL24 Herpes_UL4 Peptidase_S21 Herpes_UL52 Herpes_UL7 Herpes_UL49_2 Herpes_V23 Herpes_alk_exo Herpes_glycop_H Herpes_UL25 Herpes_teg_N PRTP Herpes_TK Ribonuc_red_lgC Herpes_HEPA Herpes_UL17 Herpes_gI UDG PP1c_bdg Ribonuc_red_sm Herpes_UL42
NC_014596.1,Gemini_AL1 Gemini_AL1_M Gemini_coat
NC_014635.1,T4_neck-protein gp32 DNA_ligase_A_M Phage_lysozyme Phage_clamp_A NUDIX ResIII SprT-like Trans_coact REGB_T4 AsiA T4_Gp59_N NUMOD3 5_3_exonuc_N Endonuc-dimeris Nuc-transf Gp67 WYL_2 ADPrib_exo_Tox DnaB_C Peptidase_S74 Phage_hub_GP28 MotCF Gp5_C DAO NAPRTase GP11 NAD_binding_8 DNA_topoisoIV Endonuclease_7 T5orf172 Phage_30_3 Phage_T4_gp19 T4_gp9_10 PAAR_motif AAA DNA_Packaging Thymidylat_synt ALP Helicase_C Fibritin_C Pyr_excise Terminase_6C DUF2774 Amino_oxidase Phage_sheath_1C AAA_33 DHFR_1 DNA_gyraseB Ribonuc_red_sm MotA_activ AAA_23 Phage_gp53 Phage_DsbA UDPG_MGDP_dh_N Gp23 Ribonuc_red_lgC FAD_binding_3 Phage-tail_1 DNA_pol_B Phage_sheath_1 T4_tail_cap Phage-Gp8 T4_Gp59_C RNaseH_C YqeY TOPRIM_C TK RNA_lig_T4_1 DUF2685 GLF Gp5_OB DNA_pol_B_exo1 UvrD_C_2 Thioredoxin T4_baseplate Ribonuc_red_lgN HATPase_c Metallophos HD_4 Peptidase_S77 dCMP_cyt_deam_1 Cpn10 TM2 DUF5051 Phage_RpbA GPW_gp25 Phage_holin_T Band_7 Peptidase_S80 UvsW RNA_ligase NRDD Phage_T4_gp36 Phage-tail_2 gp45-slide_C Tn7_Tnp_TnsA_N T4-gp15_tss AAA_30 Terminase_6 GSP_synth Translat_reg DUF1190
NC_014646.1,Viral_Rep RNA_helicase
NC_014660.1,Gp45_2 Thymidylat_synt GPW_gp25 Phage_clamp_A Ribonuc_red_lgN Phage-tail_2 T4_baseplate Gp5_OB Phage_RpbA 5_3_exonuc_N NTP_transferase WYL_2 Phage-Gp8 DUF2654 Amidase_3 Phage_lysozyme DUF5491 DNA_gyraseB DNA_pol_B_exo1 ALP NUDIX Cpn10 GSP_synth GIY-YIG Ribonuc_red_lgC Terminase_6C Helicase_C Phage_T4_gp36 AsiA Imm_superinfect UvrD_C_2 T4_tail_cap HATPase_c Phage_T4_Ndd gp32 RNA_ligase SIS RNA_lig_T4_1 Ribonuc_red_sm MotCF Phage_30_3 Phage_sheath_1 DNA_pol_B Phage_DsbA GP11 Phage-tail_1 AAA_23 gp45-slide_C UvsY ResIII RNaseH_C Terminase_6 Phage_hub_GP28 Gp67 Glutaredoxin T4_neck-protein DNA_ligase_A_M Phage_sheath_1N AAA_33 Phage_gp53 T4-gp15_tss GP57 ATP-cone Phage_sheath_1C Phage_head_chap dCMP_cyt_deam_1 PAAR_motif T4_Gp59_N DNA_Packaging T4_gp9_10 DUF2685 AAA Nuc-transf DUF4326 Translat_reg Trans_coact DNA_topoisoIV T4_Gp59_C zf-dskA_traR RecA Collar RF-1 Peptidase_S77 NUMOD3 DnaB_C Peptidase_S80 AAA_30 Phage_holin_T Phage_T4_gp19 Tn7_Tnp_TnsA_N DUF5051 DHFR_1 ADPrib_exo_Tox Gp23
NC_014665.1,Parvo_coat_N Parvo_NS1 Parvo_coat Rep_N
NC_014739.1,Gemini_coat Gemini_mov Gemini_AL1 Gemini_AL1_M
NC_014743.1,Papo_T_antigen Polyoma_coat2 T_Ag_DNA_bind Polyoma_lg_T_C Polyoma_coat
NC_014747.1,Viral_Rep RNA_helicase
